tcn_avg_result_sensor.npy,82.5674165913,86.5814181157,90.504658002,89.2958444492,82.4233893342,59.5365375628
tcn_avg_result_visual.npy,81.7095052615,86.6348883884,90.9764162004,89.534732134,82.0102485607,56.9705613381
trpo_avg_result_sensor_1.npy,82.3089517185,80.124277937,85.8843877231,84.6017717542,78.107797253,56.1524266058,1.0,0.0,0.0
trpo_avg_result_sensor_16.npy,79.8066739588,88.1332727895,91.2111440834,90.0105665209,80.172890396,47.2824478624,1.0,0.0,0.0
trpo_avg_result_sensor_2.npy,82.2376832048,82.4662593481,87.5230455744,86.2187656852,79.550197539,57.0642736323,1.0,0.0,0.0
trpo_avg_result_sensor_32.npy,72.858291107,84.0392166222,88.1472849548,85.1459679488,68.5368282848,29.2785113351,1.0,0.0,0.0
trpo_avg_result_sensor_4.npy,82.1557273665,85.3515233056,89.6324108124,88.0277475906,81.3364907803,58.114562754,1.0,0.0,0.0
trpo_avg_result_sensor_8.npy,81.9096509993,87.2688285644,91.0415156008,89.5836190678,82.0627758832,57.7793096402,1.0,0.0,0.0
trpo_avg_result_sensor_full.npy,82.0829439192,87.6869218073,91.049186718,89.4836896087,82.1699042445,58.0605279816,0.446445227884,0.553554772116,0.0
trpo_avg_result_sensor_full_2.npy,82.047982297,87.6631758885,90.9704332581,89.4710736946,82.2280326365,58.2852049271,0.454342741251,0.545657258749,0.0
trpo_avg_result_sensor_full_3.npy,82.0675989601,87.8559349777,91.0887017912,89.5063226563,82.2581245811,58.6476671901,0.455527012591,0.544472987409,0.0
trpo_avg_result_sensor_full_4.npy,82.0988436408,87.5941769701,90.9372958933,89.5100392895,82.1134943149,58.4432810012,0.451571468622,0.548428531378,0.0
trpo_avg_result_sensor_no_future.npy,81.4753824622,81.0700751186,86.5220626868,84.5896415728,77.4232386812,54.6060328984,0.79401011327,0.20598988673,0.0
trpo_avg_result_sensor_no_hint.npy,82.0592739023,87.1214005183,90.6667795637,89.1329076465,81.8344147855,57.7857804268,0.433885143368,0.566114856632,0.0
trpo_avg_result_sensor_no_tcn.npy,32.9022124072,17.2145639159,14.7970126673,7.45573751702,4.56675013373,1.70817794703,0.999961786577,3.82134228792e-05,0.0
trpo_avg_result_visual_1.npy,81.6462606041,80.0902394104,86.6409999412,85.2006214503,78.0044014245,53.9239103027,1.0,0.0,0.0
trpo_avg_result_visual_16.npy,79.1164663972,88.2791871698,92.037366111,90.4761673446,80.2677218487,46.1118265219,1.0,0.0,0.0
trpo_avg_result_visual_2.npy,81.6712409074,83.4631008896,89.0152210061,87.6361928139,80.1728455281,55.3010960565,1.0,0.0,0.0
trpo_avg_result_visual_32.npy,72.9355408928,84.0469539892,89.1357936527,86.2641314259,68.8874834404,28.3303329353,1.0,0.0,0.0
trpo_avg_result_visual_4.npy,81.5310975082,86.040186234,90.7215346686,89.0081722678,81.6579258501,55.9760692553,1.0,0.0,0.0
trpo_avg_result_visual_8.npy,80.9496199828,87.5626886177,91.7856119553,90.0863660397,81.8549229846,53.253005452,1.0,0.0,0.0
trpo_avg_result_visual_full.npy,81.3075241462,87.9460836304,91.9024713752,90.3275902784,82.076633409,55.999575586,0.450401308558,0.549598691442,0.0
trpo_avg_result_visual_full_2.npy,81.3492547546,87.9860092585,91.9213872938,90.3988803585,82.2284079662,56.0260385974,0.456643893946,0.543356106054,0.0
trpo_avg_result_visual_full_3.npy,81.4310081532,87.9631372528,91.9846391961,90.4802410577,82.2296131173,56.4979596957,0.45870850966,0.54129149034,0.0
trpo_avg_result_visual_full_4.npy,81.4219437251,88.0180185411,91.9374969006,90.4208582015,82.2656234253,56.2421399478,0.450988298967,0.549011701033,0.0
trpo_avg_result_visual_no_future.npy,80.8372506596,81.5755021907,87.5302592502,85.6196582331,77.3931154847,52.1670314369,0.81570911783,0.18429088217,0.0
trpo_avg_result_visual_no_hint.npy,81.3186918629,87.3002730745,91.5453536075,90.0836652349,81.8436990012,56.2956067688,0.440990113384,0.559009886616,0.0
trpo_avg_result_visual_no_tcn.npy,32.3496323946,15.040897061,13.1332563246,6.12614435341,3.41431385703,1.25520438614,0.99999586863,4.13136989641e-06,0.0
